Country,Balance Authority,Emissions Data Source,Last Updated
Afghanistan,,UNFCCC,7/31/2024
Albania,,UNFCCC,7/31/2024
Algeria,,UNFCCC,7/31/2024
American Samoa (U.S.),,UNFCCC,7/31/2024
Andorra,,UNFCCC,7/31/2024
Angola,,UNFCCC,7/31/2024
Anguilla (U.K.),,UNFCCC,7/31/2024
Antigua and Barbuda,,UNFCCC,7/31/2024
Argentina,,UNFCCC,7/31/2024
Armenia,,UNFCCC,7/31/2024
Aruba,,UNFCCC,7/31/2024
Australia,North,UNFCCC,7/31/2024
Australia,Tasmania,WattTime,7/31/2024
Australia,Victoria,WattTime,7/31/2024
Australia,New South Wales,WattTime,7/31/2024
Australia,Queensland,WattTime,7/31/2024
Australia,South,WattTime,7/31/2024
Australia,West,WattTime,7/31/2024
Austria,,UNFCCC,7/31/2024
Azerbaijan,,UNFCCC,7/31/2024
Azores (Portugal),,UNFCCC,7/31/2024
Bahamas,,UNFCCC,7/31/2024
Bahrain,,UNFCCC,7/31/2024
Bangladesh,,UNFCCC,7/31/2024
Barbados,,UNFCCC,7/31/2024
Belarus,,UNFCCC,7/31/2024
Belgium,,WattTime,7/31/2024
Belize,,UNFCCC,7/31/2024
Benin,,UNFCCC,7/31/2024
Bermuda (U.K.),,UNFCCC,7/31/2024
Bhutan,,UNFCCC,7/31/2024
"Bolivia, Plurinational State of",,UNFCCC,7/31/2024
Bonaire (Netherland),,UNFCCC,7/31/2024
Bosnia and Herzegovina,,UNFCCC,7/31/2024
Botswana,,UNFCCC,7/31/2024
Brazil,,WattTime,7/31/2024
British Virgin Islands (U.K.),,UNFCCC,7/31/2024
Brunei Darussalam,,UNFCCC,7/31/2024
Bulgaria,,UNFCCC,7/31/2024
Burkina Faso,,UNFCCC,7/31/2024
Burundi,,UNFCCC,7/31/2024
Cambodia,,UNFCCC,7/31/2024
Cameroon,,UNFCCC,7/31/2024
Canada,AESO,WattTime,7/31/2024
Canada,IESO,WattTime,7/31/2024
Canada,EPE,WattTime,7/31/2024
Canada,BCHYDRO,WattTime,7/31/2024
Canada,HYDRO QUEBEC,WattTime,7/31/2024
Canary Islands (Spain),,UNFCCC,7/31/2024
Cape Verde,,UNFCCC,7/31/2024
Cayman Islands,,UNFCCC,7/31/2024
Central African Republic,,UNFCCC,7/31/2024
Chad,,UNFCCC,7/31/2024
Channel Islands (U.K),,UNFCCC,7/31/2024
Chile,,WattTime,7/31/2024
China (PRC and Hong Kong),,UNFCCC,7/31/2024
Colombia,,UNFCCC,7/31/2024
Comoros,,UNFCCC,7/31/2024
"Congo, Democratic Republic of",,UNFCCC,7/31/2024
"Congo, Republic of",,UNFCCC,7/31/2024
Cook Islands,,UNFCCC,7/31/2024
Costa Rica,,UNFCCC,7/31/2024
Côte d'Ivoire,,UNFCCC,7/31/2024
Croatia,,UNFCCC,7/31/2024
Cuba,,UNFCCC,7/31/2024
Curacao/Netherlands Antilles,,UNFCCC,7/31/2024
Cyprus,,UNFCCC,7/31/2024
Czech Republic,,UNFCCC,7/31/2024
Denmark,,UNFCCC,7/31/2024
Djibouti,,UNFCCC,7/31/2024
Dominica,,UNFCCC,7/31/2024
Dominican Republic,,UNFCCC,7/31/2024
Ecuador,,UNFCCC,7/31/2024
Egypt,,UNFCCC,7/31/2024
El Salvador,,UNFCCC,7/31/2024
Equatorial Guinea,,UNFCCC,7/31/2024
Eritrea,,UNFCCC,7/31/2024
Estonia,,UNFCCC,7/31/2024
Eswatini,,UNFCCC,7/31/2024
Ethiopia,,UNFCCC,7/31/2024
Falkland Islands (U.K.),,UNFCCC,7/31/2024
Faroe Islands (Denmark),,UNFCCC,7/31/2024
Fiji,,UNFCCC,7/31/2024
Finland,,WattTime,7/31/2024
France,,WattTime,7/31/2024
French Guiana,,UNFCCC,7/31/2024
French Polynesia,,UNFCCC,7/31/2024
Gabon,,UNFCCC,7/31/2024
Gambia,,UNFCCC,7/31/2024
Georgia,,UNFCCC,7/31/2024
Germany,,WattTime,7/31/2024
Ghana,,UNFCCC,7/31/2024
Gibraltar (U.K.),,UNFCCC,7/31/2024
Greece,,WattTime,7/31/2024
Greenland,,UNFCCC,7/31/2024
Grenada,,UNFCCC,7/31/2024
Guadeloupe (France),,UNFCCC,7/31/2024
Guam,,UNFCCC,7/31/2024
Guatemala,,UNFCCC,7/31/2024
Guinea,,UNFCCC,7/31/2024
Guinea-Bissau,,UNFCCC,7/31/2024
Guyana,,UNFCCC,7/31/2024
Haiti,,UNFCCC,7/31/2024
Honduras,,UNFCCC,7/31/2024
Hungary,,WattTime,7/31/2024
Iceland,,UNFCCC,7/31/2024
India,,WattTime,7/31/2024
Indonesia,,UNFCCC,7/31/2024
"Iran, Islamic Republic of",,UNFCCC,7/31/2024
Iraq,,UNFCCC,7/31/2024
Ireland,,WattTime,7/31/2024
Isle of Man (U.K.),,UNFCCC,7/31/2024
Israel,,UNFCCC,7/31/2024
Italy,,WattTime,7/31/2024
Jamaica,,UNFCCC,7/31/2024
Japan,,WattTime,7/31/2024
Jordan,,UNFCCC,7/31/2024
Kazakhstan,,UNFCCC,7/31/2024
Kenya,,UNFCCC,7/31/2024
Kiribati,,UNFCCC,7/31/2024
"Korea (North), Democratic People's Republic of",,UNFCCC,7/31/2024
"Korea (South), Republic of",,WattTime,7/31/2024
Kosovo,,UNFCCC,7/31/2024
Kuwait,,UNFCCC,7/31/2024
Kyrgyzstan,,UNFCCC,7/31/2024
Lao People's Democratic Republic,,UNFCCC,7/31/2024
Latvia,,UNFCCC,7/31/2024
Lebanon,,UNFCCC,7/31/2024
Lesotho,,UNFCCC,7/31/2024
Liberia,,UNFCCC,7/31/2024
Libya,,UNFCCC,7/31/2024
Liechtenstein,,UNFCCC,7/31/2024
Lithuania,,UNFCCC,7/31/2024
Luxembourg,,UNFCCC,7/31/2024
Madagascar,,UNFCCC,7/31/2024
