Region,Data Provider,Model Type,Time Resolution,Location Resolution,Last Updated
USA - ERCOT,REsurety,Dispatch,Hourly,Nodal,31-Jul-24
USA - MISO,REsurety,Dispatch,Hourly,Nodal,31-Jul-24
USA - NYISO,REsurety,Dispatch,Hourly,Nodal,31-Jul-24
USA - ISONE,REsurety,Dispatch,Hourly,Nodal,31-Jul-24
USA - PJM,REsurety,Dispatch,Hourly,Nodal,31-Jul-24
USA - SPP,REsurety,Dispatch,Hourly,Nodal,31-Jul-24
USA - CAISO,REsurety,Dispatch,Hourly,Nodal,31-Jul-24
Afghanistan,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Albania,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Algeria,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
American Samoa (U.S.),UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Andorra,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Angola,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Anguilla (U.K.),UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Antigua and Barbuda,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Argentina,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Armenia,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Aruba,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Australia - North,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Austria,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Azerbaijan,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Azores (Portugal),UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Bahamas,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Bahrain,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Bangladesh,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Barbados,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Belarus,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Belize,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Benin,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Bermuda (U.K.),UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Bhutan,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
"Bolivia, Plurinational State of",UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Bonaire (Netherland),UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Bosnia and Herzegovina,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Botswana,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
British Virgin Islands (U.K.),UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Brunei Darussalam,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Bulgaria,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Burkina Faso,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Burundi,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Cambodia,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Cameroon,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Canary Islands (Spain),UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Cape Verde,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Cayman Islands,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
